"animal_id","timestamp","station_name","deploy_longitude","deploy_latitude","scientific_name","receiver_id","transmitter"
"D01",2023-04-08 15:05:10.239657,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-08 15:14:59.015557,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-08 15:52:10.51667,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-08 16:51:29.992302,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-08 16:51:56.069947,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-09 12:54:09.290397,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-09 13:05:36.323866,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-09 13:26:11.58759,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-13 15:21:31.620051,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-13 15:29:09.985708,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-13 15:57:44.044863,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-13 17:21:57.857735,"ST03",-8.996,38.456,"Dasyatis pastinaca","VR2W-1003","A69-1602-30005"
"D01",2023-04-13 18:53:08.540968,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 20:02:36.121186,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 20:24:17.76165,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 21:00:59.57727,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 21:10:43.838623,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 21:12:21.433577,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 21:16:20.403095,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 21:38:47.782419,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 21:45:13.970863,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-13 21:48:08.669116,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-15 20:14:38.736614,"ST04",-8.985,38.466,"Dasyatis pastinaca","VR2W-1004","A69-1602-30005"
"D01",2023-04-15 20:34:40.512506,"ST04",-8.985,38.466,"Dasyatis pastinaca","VR2W-1004","A69-1602-30005"
"D01",2023-04-15 20:54:48.650416,"ST04",-8.985,38.466,"Dasyatis pastinaca","VR2W-1004","A69-1602-30005"
"D01",2023-04-15 21:34:06.563843,"ST04",-8.985,38.466,"Dasyatis pastinaca","VR2W-1004","A69-1602-30005"
"D01",2023-04-15 22:11:33.634238,"ST04",-8.985,38.466,"Dasyatis pastinaca","VR2W-1004","A69-1602-30005"
"D01",2023-04-15 22:12:12.152872,"ST04",-8.985,38.466,"Dasyatis pastinaca","VR2W-1004","A69-1602-30005"
"D01",2023-04-15 22:13:38.672283,"ST04",-8.985,38.466,"Dasyatis pastinaca","VR2W-1004","A69-1602-30005"
"D01",2023-04-17 02:11:27.460919,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 02:12:13.892724,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 02:14:47.594347,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 02:42:38.25364,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 02:56:33.50473,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 03:42:01.313598,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 04:08:58.962259,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 04:09:50.712731,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 05:32:07.915578,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 05:32:21.710924,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 05:37:39.179385,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 05:39:24.466935,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-17 06:33:47.243607,"ST06",-8.99,38.442,"Dasyatis pastinaca","VR2W-1006","A69-1602-30005"
"D01",2023-04-18 07:54:28.389401,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-18 08:05:32.418583,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-18 08:43:18.269971,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-18 08:55:09.481032,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-18 09:11:29.258853,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 17:48:55.008152,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 18:24:03.836515,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 18:24:36.936589,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 18:47:03.656038,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 19:40:34.633698,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 20:05:00.087306,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 20:07:29.500402,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-20 21:14:48.660433,"ST01",-9.02,38.454,"Dasyatis pastinaca","VR2W-1001","A69-1602-30005"
"D01",2023-04-24 03:50:44.175592,"ST05",-8.972,38.452,"Dasyatis pastinaca","VR2W-1005","A69-1602-30005"
"D01",2023-04-24 03:56:57.794218,"ST05",-8.972,38.452,"Dasyatis pastinaca","VR2W-1005","A69-1602-30005"
"D01",2023-04-24 04:48:52.403636,"ST05",-8.972,38.452,"Dasyatis pastinaca","VR2W-1005","A69-1602-30005"
"D01",2023-04-24 05:06:25.56825,"ST05",-8.972,38.452,"Dasyatis pastinaca","VR2W-1005","A69-1602-30005"
"D01",2023-04-24 05:09:37.170511,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-24 05:15:15.983429,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-24 05:32:49.547441,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-24 05:58:43.334428,"ST05",-8.972,38.452,"Dasyatis pastinaca","VR2W-1005","A69-1602-30005"
"D01",2023-04-24 06:39:26.731016,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-24 06:50:09.99448,"ST02",-9.008,38.464,"Dasyatis pastinaca","VR2W-1002","A69-1602-30005"
"D01",2023-04-24 06:59:25.910467,"ST05",-8.972,38.452,"Dasyatis pastinaca","VR2W-1005","A69-1602-30005"
"D01",2023-04-24 07:15:55.798812,"ST05",-8.972,38.452,"Dasyatis pastinaca","VR2W-1005","A69-1602-30005"
